date,n_obs,sum_sq,coverage_ratio,is_complete_missing,is_partial_missing,rv_scaled_sum_sq,RV,coin
2017-08-17 00:00:00+00:00,239,0.00834840071007046,0.8298611111111112,False,True,0.010059997508369424,,ETH
2017-08-18 00:00:00+00:00,288,0.010477158139562171,1.0,False,False,0.010477158139562171,0.010477158139562171,ETH
2017-08-19 00:00:00+00:00,288,0.007054092414618264,1.0,False,False,0.007054092414618264,0.007054092414618264,ETH
2017-08-20 00:00:00+00:00,288,0.007620355902764807,1.0,False,False,0.007620355902764807,0.007620355902764807,ETH
2017-08-21 00:00:00+00:00,288,0.014705742877010491,1.0,False,False,0.014705742877010493,0.014705742877010493,ETH
2017-08-22 00:00:00+00:00,288,1.1419877954347388,1.0,False,False,1.1419877954347388,1.1419877954347388,ETH
2017-08-23 00:00:00+00:00,288,0.008731835035064518,1.0,False,False,0.008731835035064518,0.008731835035064518,ETH
2017-08-24 00:00:00+00:00,288,0.006746368061976748,1.0,False,False,0.006746368061976748,0.006746368061976748,ETH
2017-08-25 00:00:00+00:00,288,0.006380817464708912,1.0,False,False,0.006380817464708912,0.006380817464708912,ETH
2017-08-26 00:00:00+00:00,288,0.007547650249072144,1.0,False,False,0.007547650249072144,0.007547650249072144,ETH
2017-08-27 00:00:00+00:00,288,0.0062815115673747,1.0,False,False,0.0062815115673747,0.0062815115673747,ETH
2017-08-28 00:00:00+00:00,288,0.005895765525284135,1.0,False,False,0.005895765525284135,0.005895765525284135,ETH
2017-08-29 00:00:00+00:00,288,0.004512928338731727,1.0,False,False,0.004512928338731727,0.004512928338731727,ETH
2017-08-30 00:00:00+00:00,288,0.006469541484936866,1.0,False,False,0.006469541484936866,0.006469541484936866,ETH
2017-08-31 00:00:00+00:00,288,0.002215514473431846,1.0,False,False,0.002215514473431846,0.002215514473431846,ETH
2017-09-01 00:00:00+00:00,288,0.0024623367875190503,1.0,False,False,0.0024623367875190503,0.0024623367875190503,ETH
2017-09-02 00:00:00+00:00,288,0.011925679813166765,1.0,False,False,0.011925679813166765,0.011925679813166765,ETH
2017-09-03 00:00:00+00:00,288,0.011274019007774996,1.0,False,False,0.011274019007774996,0.011274019007774996,ETH
2017-09-04 00:00:00+00:00,288,0.048380227862426815,1.0,False,False,0.048380227862426815,0.048380227862426815,ETH
2017-09-05 00:00:00+00:00,288,0.03759695628889291,1.0,False,False,0.03759695628889291,0.03759695628889291,ETH
