date,n_obs,sum_sq,coverage_ratio,is_complete_missing,is_partial_missing,rv_scaled_sum_sq,RV,coin
2017-08-17 00:00:00+00:00,239,0.004322328415079697,0.8298611111111112,False,True,0.005208496165451684,,BTC
2017-08-18 00:00:00+00:00,288,0.005784251429960728,1.0,False,False,0.005784251429960728,0.005784251429960728,BTC
2017-08-19 00:00:00+00:00,288,0.0076317246336244995,1.0,False,False,0.007631724633624499,0.007631724633624499,BTC
2017-08-20 00:00:00+00:00,288,0.0037875911419356745,1.0,False,False,0.0037875911419356745,0.0037875911419356745,BTC
2017-08-21 00:00:00+00:00,288,0.007837476924323182,1.0,False,False,0.007837476924323182,0.007837476924323182,BTC
2017-08-22 00:00:00+00:00,288,0.034540460317745554,1.0,False,False,0.034540460317745554,0.034540460317745554,BTC
2017-08-23 00:00:00+00:00,288,0.005659566847860242,1.0,False,False,0.005659566847860242,0.005659566847860242,BTC
2017-08-24 00:00:00+00:00,288,0.0035922716502027855,1.0,False,False,0.0035922716502027855,0.0035922716502027855,BTC
2017-08-25 00:00:00+00:00,288,0.004886791290292734,1.0,False,False,0.004886791290292734,0.004886791290292734,BTC
2017-08-26 00:00:00+00:00,288,0.0023727169108085765,1.0,False,False,0.0023727169108085765,0.0023727169108085765,BTC
2017-08-27 00:00:00+00:00,288,0.004716136366929613,1.0,False,False,0.004716136366929613,0.004716136366929613,BTC
2017-08-28 00:00:00+00:00,288,0.007270448877861841,1.0,False,False,0.007270448877861841,0.007270448877861841,BTC
2017-08-29 00:00:00+00:00,288,0.005465809450368328,1.0,False,False,0.005465809450368328,0.005465809450368328,BTC
2017-08-30 00:00:00+00:00,288,0.005317048402977622,1.0,False,False,0.005317048402977622,0.005317048402977622,BTC
2017-08-31 00:00:00+00:00,288,0.0027436491388783124,1.0,False,False,0.0027436491388783124,0.0027436491388783124,BTC
2017-09-01 00:00:00+00:00,288,0.0039052804679632434,1.0,False,False,0.0039052804679632434,0.0039052804679632434,BTC
2017-09-02 00:00:00+00:00,288,0.012798286928390721,1.0,False,False,0.012798286928390721,0.012798286928390721,BTC
2017-09-03 00:00:00+00:00,288,0.008773678492836268,1.0,False,False,0.008773678492836268,0.008773678492836268,BTC
2017-09-04 00:00:00+00:00,288,0.018276836248616216,1.0,False,False,0.018276836248616216,0.018276836248616216,BTC
2017-09-05 00:00:00+00:00,288,0.011781214789036548,1.0,False,False,0.011781214789036548,0.011781214789036548,BTC
2017-09-06 00:00:00+00:00,205,0.0024825088897226896,0.7118055555555556,False,True,0.0034876222450738272,,BTC
2017-09-07 00:00:00+00:00,288,0.005257263864227157,1.0,False,False,0.005257263864227157,0.005257263864227157,BTC
2017-09-08 00:00:00+00:00,288,0.01023914760587667,1.0,False,False,0.01023914760587667,0.01023914760587667,BTC
2017-09-09 00:00:00+00:00,288,0.002525295715774718,1.0,False,False,0.002525295715774718,0.002525295715774718,BTC
2017-09-10 00:00:00+00:00,288,0.007371156372845533,1.0,False,False,0.0073711563728455325,0.0073711563728455325,BTC
2017-09-11 00:00:00+00:00,288,0.0049304969297578865,1.0,False,False,0.0049304969297578865,0.0049304969297578865,BTC
2017-09-12 00:00:00+00:00,288,0.003080205374764859,1.0,False,False,0.003080205374764859,0.003080205374764859,BTC
2017-09-13 00:00:00+00:00,288,0.009714462135203729,1.0,False,False,0.009714462135203729,0.009714462135203729,BTC
2017-09-14 00:00:00+00:00,288,0.015686781837496167,1.0,False,False,0.015686781837496167,0.015686781837496167,BTC
2017-09-15 00:00:00+00:00,288,0.03428319466460485,1.0,False,False,0.03428319466460485,0.03428319466460485,BTC
2017-09-16 00:00:00+00:00,288,0.010580381165426814,1.0,False,False,0.010580381165426814,0.010580381165426814,BTC
2017-09-17 00:00:00+00:00,288,0.005035479772776319,1.0,False,False,0.005035479772776319,0.005035479772776319,BTC
2017-09-18 00:00:00+00:00,288,0.005402320861867319,1.0,False,False,0.005402320861867319,0.005402320861867319,BTC
2017-09-19 00:00:00+00:00,288,0.005407406964262411,1.0,False,False,0.005407406964262411,0.005407406964262411,BTC
2017-09-20 00:00:00+00:00,288,0.004035203989451787,1.0,False,False,0.004035203989451787,0.004035203989451787,BTC
2017-09-21 00:00:00+00:00,288,0.00462944242785308,1.0,False,False,0.00462944242785308,0.00462944242785308,BTC
2017-09-22 00:00:00+00:00,288,0.003511446521457607,1.0,False,False,0.003511446521457607,0.003511446521457607,BTC
2017-09-23 00:00:00+00:00,288,0.0025942752447539047,1.0,False,False,0.0025942752447539047,0.0025942752447539047,BTC
2017-09-24 00:00:00+00:00,288,0.003056153241980616,1.0,False,False,0.003056153241980616,0.003056153241980616,BTC
2017-09-25 00:00:00+00:00,288,0.003204512170812743,1.0,False,False,0.003204512170812743,0.003204512170812743,BTC
2017-09-26 00:00:00+00:00,288,0.0027986725678363494,1.0,False,False,0.0027986725678363494,0.0027986725678363494,BTC
2017-09-27 00:00:00+00:00,288,0.002936962737612301,1.0,False,False,0.002936962737612301,0.002936962737612301,BTC
2017-09-28 00:00:00+00:00,288,0.0036004400989405466,1.0,False,False,0.0036004400989405466,0.0036004400989405466,BTC
2017-09-29 00:00:00+00:00,288,0.005830439486151003,1.0,False,False,0.005830439486151003,0.005830439486151003,BTC
2017-09-30 00:00:00+00:00,288,0.003329211198974672,1.0,False,False,0.003329211198974672,0.003329211198974672,BTC
2017-10-01 00:00:00+00:00,288,0.003297918321967146,1.0,False,False,0.003297918321967146,0.003297918321967146,BTC
2017-10-02 00:00:00+00:00,288,0.0046662847485573105,1.0,False,False,0.0046662847485573105,0.0046662847485573105,BTC
2017-10-03 00:00:00+00:00,288,0.002679551470264895,1.0,False,False,0.002679551470264895,0.002679551470264895,BTC
2017-10-04 00:00:00+00:00,288,0.0034735187960524957,1.0,False,False,0.0034735187960524957,0.0034735187960524957,BTC
2017-10-05 00:00:00+00:00,288,0.002626773178402965,1.0,False,False,0.002626773178402965,0.002626773178402965,BTC
2017-10-06 00:00:00+00:00,288,0.0016734252247315895,1.0,False,False,0.0016734252247315895,0.0016734252247315895,BTC
2017-10-07 00:00:00+00:00,288,0.0013841658452673764,1.0,False,False,0.0013841658452673764,0.0013841658452673764,BTC
2017-10-08 00:00:00+00:00,288,0.001807433149292046,1.0,False,False,0.0018074331492920457,0.0018074331492920457,BTC
2017-10-09 00:00:00+00:00,288,0.0018194949972168955,1.0,False,False,0.0018194949972168957,0.0018194949972168957,BTC
2017-10-10 00:00:00+00:00,288,0.0027698147112507937,1.0,False,False,0.0027698147112507937,0.0027698147112507937,BTC
2017-10-11 00:00:00+00:00,288,0.0016004757371917886,1.0,False,False,0.0016004757371917886,0.0016004757371917886,BTC
2017-10-12 00:00:00+00:00,288,0.0034069064840054506,1.0,False,False,0.0034069064840054506,0.0034069064840054506,BTC
2017-10-13 00:00:00+00:00,288,0.00645588819695851,1.0,False,False,0.00645588819695851,0.00645588819695851,BTC
2017-10-14 00:00:00+00:00,288,0.0019778634259762437,1.0,False,False,0.0019778634259762437,0.0019778634259762437,BTC
2017-10-15 00:00:00+00:00,288,0.003792506243298592,1.0,False,False,0.0037925062432985924,0.0037925062432985924,BTC
2017-10-16 00:00:00+00:00,288,0.0016886634144877483,1.0,False,False,0.0016886634144877483,0.0016886634144877483,BTC
2017-10-17 00:00:00+00:00,288,0.0016366364696231376,1.0,False,False,0.0016366364696231376,0.0016366364696231376,BTC
2017-10-18 00:00:00+00:00,288,0.00425966328724844,1.0,False,False,0.00425966328724844,0.00425966328724844,BTC
2017-10-19 00:00:00+00:00,288,0.0027610629455674936,1.0,False,False,0.0027610629455674936,0.0027610629455674936,BTC
2017-10-20 00:00:00+00:00,288,0.0025398561744486335,1.0,False,False,0.0025398561744486335,0.0025398561744486335,BTC
2017-10-21 00:00:00+00:00,288,0.0025432008960736205,1.0,False,False,0.0025432008960736205,0.0025432008960736205,BTC
2017-10-22 00:00:00+00:00,288,0.0029209179407878533,1.0,False,False,0.0029209179407878533,0.0029209179407878533,BTC
